n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,2537.91,986.394,1978,2041.5,2097,2777,11304
2000,5616.73,2300.76,4253,4438.5,4788,6083.75,25972
4000,12255.2,4045.98,9523,11112.8,11471.5,11937,48635
8000,32003.4,6382.61,25675,27338.8,31116.5,34616.2,78342
16000,77453.9,17070.9,58115,67978,75458,83445.2,224557
32000,198040,30888.2,132859,177094,201136,218069,324454
64000,439536,71912.3,290589,389206,452363,487244,611502
128000,966601,86240.5,642807,917642,967487,1.01438e+06,1.23732e+06
256000,1.76787e+06,256932,1.239e+06,1.57277e+06,1.82388e+06,1.96697e+06,2.35515e+06
512000,3.63459e+06,415486,2.54801e+06,3.37015e+06,3.6812e+06,3.92115e+06,4.47258e+06
