n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,181.32,467.669,72,94.75,105.5,151,4446
2000,274.359,1049.46,107,130,148.5,204,11980
4000,463.109,1128.69,203,247,283,348,10436
8000,1160.09,3328.24,574,699.75,773,869.5,37940
16000,5692.95,4189.46,3152,4241.5,5071.5,5844.25,48917
32000,4382.19,6493.95,2244,3015,3660,4070,67309
64000,10013.3,11705.2,4365,6643,7635.5,10131.8,113036
128000,27615.4,22511.6,11647,18434.2,25229,31052.8,201900
256000,78867.4,41947,31762,59600.2,74163,88110.5,440301
512000,189830,75477.2,105431,147496,175821,217894,783910
