n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,3900.97,839.128,3484,3516,3613,3955.25,10966
2000,11197.8,1695.24,8741,10308.8,11009,11474,19147
4000,38465.1,7576.68,28420,35081.2,36777,38866,83920
8000,81759.3,13782.2,55978,71361.8,84021.5,92665.5,124409
16000,204690,33505.2,133655,180100,209074,225591,310571
32000,420323,86998.2,265574,370414,421016,462192,681000
64000,881445,129643,578317,805305,903055,969300,1.2223e+06
128000,1.64939e+06,260252,1.18727e+06,1.44391e+06,1.68698e+06,1.84068e+06,2.24053e+06
256000,3.40101e+06,386610,2.54344e+06,3.09818e+06,3.36318e+06,3.70072e+06,4.2377e+06
512000,5.99974e+06,1.0877e+06,4.48559e+06,5.21619e+06,5.67696e+06,6.84046e+06,8.8812e+06
