n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,507132,76493.4,355157,457707,519318,565561,660496
2000,1.08288e+06,133098,779079,978730,1.10781e+06,1.17953e+06,1.38446e+06
4000,2.43172e+06,187906,1.73762e+06,2.34919e+06,2.44067e+06,2.5521e+06,3.05291e+06
8000,5.01533e+06,465153,3.7017e+06,4.70535e+06,5.10755e+06,5.3078e+06,5.96854e+06
16000,9.9104e+06,705389,8.49472e+06,9.3397e+06,9.80151e+06,1.04601e+07,1.14787e+07
32000,1.93471e+07,1.22835e+06,1.68262e+07,1.83572e+07,1.93741e+07,2.02383e+07,2.21069e+07
64000,3.91502e+07,1.03889e+06,3.71794e+07,3.84081e+07,3.88936e+07,3.97744e+07,4.29634e+07
128000,8.12583e+07,2.2342e+06,7.56286e+07,7.97451e+07,8.12344e+07,8.27284e+07,9.29597e+07
256000,1.69698e+08,2.12282e+06,1.65239e+08,1.68274e+08,1.69522e+08,1.70923e+08,1.74824e+08
512000,3.58762e+08,1.02154e+07,3.41597e+08,3.53686e+08,3.56815e+08,3.60209e+08,4.05524e+08
