n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,1775.37,639.342,985,1271,1624,2102,4067
2000,2155.22,889.74,1069,1502,2020,2573,6645
4000,3377.33,1384.08,1391,2523.25,3074.5,4062.75,10124
8000,4203.71,864.813,2630,3639,4063.5,4720,7916
16000,3449.79,909.338,2248,2827.25,3229,3842.25,8577
32000,3142.54,725.002,2204,2590.5,3050.5,3445.25,7627
64000,4204.38,887.055,3127,3622,3906.5,4602.5,9723
128000,4422.45,1782.01,3200,3675.75,3937.5,4760.75,22285
256000,4494.36,812.236,3527,3950,4208.5,4917,8784
512000,5139.79,2082.49,3473,4247.75,4510,5593.25,24261
