n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,789.18,337.519,439,559,670,898.75,2264
2000,1368.14,721.356,476,826.75,1108,1848.25,4130
4000,2222.38,2404.28,600,1446.5,1882,2345.75,25645
8000,2395.89,869.041,1036,1969.5,2191,2627.75,7146
16000,1998.73,559.511,1248,1600.25,1891.5,2250.5,4579
32000,1878.06,1245.38,1212,1445,1636,1961.25,14263
64000,1600.34,371.11,1122,1343.25,1486,1797,3185
128000,1429.45,263.798,1089,1233,1363.5,1579.5,2389
256000,1379.9,278.248,1075,1177,1281,1513.5,2767
512000,1354.66,221.356,1093,1191.75,1282,1465,2081
