n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,1379.53,948.284,402,775.75,1098.5,1678.25,5663
2000,1795.25,876.317,486,985.75,1780,2360.25,4818
4000,2725.7,973.392,683,2212.25,2622,3029.25,7720
8000,2760.53,1246.33,1474,2104.25,2455,2996,10519
16000,2733.77,1241.61,1277,2007.75,2401.5,3148.25,10054
32000,2721.11,1101.84,1765,2158,2434.5,3072.75,10796
64000,2857.58,1499.43,1764,2250.5,2435.5,3055.75,16522
128000,2872.47,1334.61,1655,2153,2510.5,3400.5,14401
256000,2521.84,764.99,1501,2012,2253,3001.75,7250
512000,2637.19,839.469,1725,2135.5,2373,2960.25,7544
