k,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,32.1641,41.7759,26,28,29,29,501
500000,47.7422,119.53,29,34,35,38,1378
1000000,77.8906,481,32,34,35,36,5477
1500000,71.5781,475.586,27,29,29,30,5410
2000000,34.2422,37.2184,29,30,30,31,449
2500000,39.2578,53.5818,29,32,34,36,639
3000000,37.7891,30.5348,29,34,35,36,377
3500000,38.0312,72.409,29,30,31,31.25,848
4000000,35.0781,56.7532,28,29,29,30,670
4500000,37.5312,37.3407,30,31,32,36,452
5000000,17.0156,3.09173,13,16,17,17,38
5500000,36.3281,50.4837,29,31,31,32,601
6000000,41.6797,48.2965,30,34,36,37,565
6500000,39.6719,34.516,34,36,36,37,425
7000000,41.9453,40.8312,35,37,37,38,492
7500000,20.6406,4.03281,17,18,19,22,42
8000000,47.5156,37.7841,34,38,41,48,458
8500000,46.2969,41.2655,33,38,40,42,496
9000000,43.1328,41.6851,36,38,39,39,508
9500000,41.1094,21.7593,33,35,35.5,45,260
10000000,55.8672,54.6461,46,47.75,48,52,653
