k,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,38.6641,65.5581,23,30,32,37,773
500000,32.7109,39.3965,26,28,29,29,469
1000000,31.4531,23.2436,26,28,29,30,289
1500000,35.2109,58.9847,26,27,28,29,663
2000000,29.1641,6.20868,26,27,28,28,71
2500000,36.8359,13.2842,34,35,36,36,185
3000000,35.7031,65.6164,26,28,29,30,769
3500000,31.9219,10.7934,29,30,30,31,141
4000000,30.8203,9.53108,27,28.75,30,31,130
4500000,37.5312,74.8038,26,29,31,32,876
5000000,39.2109,4.1234,35,37,39,40,79
5500000,35.1406,40.6459,26,27,29,30,438
6000000,29.8516,4.1051,26,28,29,30,54
6500000,34.4922,26.1961,28,30,31,31,245
7000000,34.1797,22.7283,30,31,31.5,32,281
7500000,44.7969,12.7424,38,42,43,43,177
8000000,55.2031,20.7567,35,46.5,55,59,237
8500000,40.4375,39.6671,34,35,36,36,479
9000000,40.0938,21.867,32,34,35,37,242
9500000,47.6172,29.9743,41,42,43,43,346
10000000,64.7344,33.0403,51,55,58,62,342
