k,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,30.8047,23.4175,19,26,29,31,259
500000,90.9531,102.699,48,67,75,82,1032
1000000,79.7812,47.8883,46,54.5,74,81,461
1500000,129.172,221.998,58,87.75,94,114,2552
2000000,104.57,94.1608,59,78,82,90.25,898
2500000,221.336,487.426,58,96.75,147,216.75,5297
3000000,300.516,717.996,68,98.75,165.5,228.75,4962
3500000,274.672,558.72,67,101.75,165.5,235,4817
4000000,210.375,188.09,62,96.75,160,234.5,1230
4500000,348.938,1471.31,74,110.75,176.5,226,16605
5000000,320.789,1853.28,70,97,109,150,21048
5500000,260.414,686.699,70,103,127.5,204.25,5919
6000000,178.023,424.283,67,97.75,105.5,121.5,4647
6500000,198.195,476.22,67,96.75,108,131,3691
7000000,127.352,103.087,70,96.75,105,117.25,1020
7500000,193.383,159.543,74,117,156,219,1522
8000000,193.969,470.083,67,101,125,170,5349
8500000,71.1406,94.1631,50,53,56,57,1041
9000000,60.4141,74.5935,46,50,52,52,832
9500000,65.4844,132.331,47,51,52.5,56,1548
10000000,60.3125,49.9823,50,53,56,57,616
