k,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,24.3438,20.2261,17,18,19,22,153
500000,108.305,345.344,49,55,58,66.5,3943
1000000,77.1953,93.0598,52,55,58,61,899
1500000,99.4609,169.109,57,64,67,72,1809
2000000,86.125,67.4981,52,61,66,71.25,509
2500000,109.906,173.816,57,67,75.5,94.5,1742
3000000,104.164,108.158,59,71,80,106,1192
3500000,119.633,167.394,58,67,86.5,127.25,1640
4000000,97.6641,75.563,57,68,74,98.25,539
4500000,101.305,185.259,52,69,75,80,2071
5000000,94.4297,128.184,51,68,74,77,1268
5500000,119.25,252.065,49,71,76,84.5,2698
6000000,102.836,86.8181,57,78.75,85,91.25,842
6500000,91.3516,126.283,48,66,72,78,1326
7000000,110.477,203.183,53,76,84,88.25,2187
7500000,122.406,132.554,59,86,98,108.5,1316
8000000,126.766,196.558,62,87,98,110,2277
8500000,87.8047,443.178,37,46,49,51,5061
9000000,45.1641,60.1719,36,38,39,40,716
9500000,45.6875,93.8354,34,35,36,37.25,1095
10000000,53.6328,93.9216,39,44,45,46,1106
