k,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,15.3984,11.5495,12,14,14,15,144
500000,103469,37576.5,55158,69729.2,100087,120590,217832
1000000,370699,172443,144673,228784,357673,430701,865125
1500000,710934,210016,366510,586061,687768,778800,1.55527e+06
2000000,974769,248524,525370,822254,947140,1.06533e+06,2.08413e+06
2500000,1.23382e+06,337195,737724,1.00825e+06,1.16256e+06,1.37141e+06,2.6456e+06
3000000,1.55755e+06,391932,955017,1.31043e+06,1.46255e+06,1.71913e+06,3.10387e+06
3500000,1.80814e+06,435372,1.12753e+06,1.53416e+06,1.71565e+06,2.00163e+06,3.12855e+06
4000000,2.07259e+06,480754,1.27103e+06,1.75861e+06,1.9538e+06,2.32682e+06,3.6925e+06
4500000,2.35285e+06,518523,1.49242e+06,1.99953e+06,2.25956e+06,2.62671e+06,3.72562e+06
5000000,2.61193e+06,568309,1.67885e+06,2.20295e+06,2.47433e+06,3.08754e+06,4.16453e+06
5500000,2.84196e+06,640522,1.87752e+06,2.39134e+06,2.67869e+06,3.33382e+06,4.6406e+06
6000000,3.08636e+06,702636,1.95534e+06,2.57552e+06,2.90792e+06,3.57826e+06,5.17039e+06
6500000,3.35642e+06,756729,2.15728e+06,2.83826e+06,3.13516e+06,3.84168e+06,5.38707e+06
7000000,3.56056e+06,789180,2.33021e+06,2.98472e+06,3.34076e+06,4.09965e+06,5.5835e+06
7500000,3.90564e+06,863949,2.7357e+06,3.2179e+06,3.6381e+06,4.51001e+06,6.20806e+06
8000000,4.29017e+06,870457,2.83128e+06,3.63026e+06,4.08445e+06,4.91328e+06,6.22267e+06
8500000,4.48436e+06,911673,2.87172e+06,3.8432e+06,4.20624e+06,5.20333e+06,6.6129e+06
9000000,4.68248e+06,967107,3.14433e+06,3.98035e+06,4.4006e+06,5.34898e+06,6.67501e+06
9500000,4.99796e+06,951678,3.23807e+06,4.35004e+06,4.6854e+06,5.72244e+06,6.96515e+06
10000000,5.2871e+06,963133,3.56762e+06,4.59514e+06,5.00208e+06,6.10749e+06,7.44144e+06
