k,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0,22.5859,14.2771,17,19,20,25,179
500000,125363,74791.8,61953,75645.8,106108,142156,422045
1000000,316425,166853,128106,165302,262087,439748,855179
1500000,654757,244336,295988,500942,657351,744263,1.54858e+06
2000000,975527,252087,537460,820201,943448,1.06708e+06,2.00288e+06
2500000,1.26833e+06,339332,734701,1.03887e+06,1.20589e+06,1.43548e+06,2.755e+06
3000000,1.55657e+06,389156,910380,1.26776e+06,1.48444e+06,1.75026e+06,2.7834e+06
3500000,1.78908e+06,448037,1.15928e+06,1.45807e+06,1.69027e+06,2.0152e+06,3.41174e+06
4000000,2.08388e+06,493404,1.37982e+06,1.7541e+06,1.95513e+06,2.35466e+06,3.73122e+06
4500000,2.36514e+06,533093,1.47526e+06,2.04686e+06,2.23322e+06,2.64374e+06,4.07101e+06
5000000,2.55782e+06,605177,1.67824e+06,2.15289e+06,2.37984e+06,2.90884e+06,4.21342e+06
5500000,2.86414e+06,637724,1.76172e+06,2.47406e+06,2.69411e+06,3.15893e+06,4.62021e+06
6000000,3.12331e+06,643044,2.02043e+06,2.68822e+06,2.93111e+06,3.64489e+06,4.74282e+06
6500000,3.37034e+06,760466,2.23843e+06,2.84972e+06,3.12667e+06,3.78139e+06,5.40876e+06
7000000,3.6657e+06,786304,2.29004e+06,3.06168e+06,3.45114e+06,4.24569e+06,5.70656e+06
7500000,3.8338e+06,906459,2.48992e+06,3.1422e+06,3.57479e+06,4.44249e+06,6.24469e+06
8000000,4.11994e+06,932561,2.65244e+06,3.42625e+06,3.91341e+06,4.70388e+06,6.25395e+06
8500000,4.39355e+06,1.03756e+06,2.76654e+06,3.66975e+06,4.08937e+06,5.21592e+06,6.6373e+06
9000000,4.67745e+06,1.06458e+06,2.99499e+06,3.93764e+06,4.39625e+06,5.38871e+06,6.88711e+06
9500000,4.96876e+06,1.03166e+06,3.14216e+06,4.17481e+06,4.6736e+06,5.96558e+06,7.10686e+06
10000000,5.12289e+06,1.14272e+06,3.25841e+06,4.31555e+06,4.85268e+06,6.15911e+06,7.54363e+06
