n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,76.375,23.7205,34,63,74,88.25,213
2000,70.3047,45.2031,29,53.75,63,75,473
4000,79.1094,34.8493,34,68,76,87,423
8000,88.5234,43.4721,36,73,85,97.25,531
16000,83.7656,15.4106,40,74,83,93,121
32000,99.625,21.3652,49,86.75,100.5,112.25,173
64000,109.281,28.4004,58,92,104,120,267
128000,194.227,760.494,58,99.75,117,137,8714
256000,391.281,354.753,129,246,335,460.5,3996
512000,360.789,732.162,92,174.75,253,370.25,8346
1024000,289.578,452.169,66,150,207.5,287.75,5064
2048000,703.531,656.209,179,457.75,598.5,775.75,5996
4096000,622.453,279.95,121,442.25,571.5,767.5,1953
8192000,850.266,321.323,253,577.5,851,1047.25,1872
