n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,92.1953,37.7962,46,76,87,98.25,432
2000,89.875,21.7639,55,78,89,97.25,260
4000,115.898,46.6979,44,98,111,124,475
8000,123.484,24.9604,70,109,123,138,225
16000,122.469,36.2424,67,102.75,115,133.25,309
32000,235.008,190.533,103,166.5,202,251.75,2181
64000,201.297,84.4541,101,144,175,244.75,599
128000,204.133,68.029,106,163.75,184,223.25,523
256000,291.891,366.192,101,174.5,233,307,4018
512000,273.844,770.002,76,139.25,172.5,243,8827
1024000,479.367,446.097,114,260.25,398.5,580.75,4407
2048000,475.273,243.938,109,268,468.5,606.25,1560
4096000,778.266,566.853,190,465,687.5,982,5908
8192000,687.914,472.009,166,406.25,628.5,844.5,4880
