n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,69.6562,24.1587,33,55.5,65.5,80.25,200
2000,64.0234,14.724,31,53,64,73.25,114
4000,66.5703,14.7753,38,57,64,77.25,104
8000,82.0078,18.1014,41,67.75,82,95,130
16000,86.6172,16.1324,41,75.75,86.5,97,137
32000,92.6172,17.7857,51,80,91,105.25,140
64000,200.008,1126.53,56,87,99.5,113.5,12843
128000,141.016,48.5461,44,111,133,154.25,348
256000,447.789,674.58,81,232.5,330.5,463.25,6146
512000,395.469,331.94,83,226.75,348.5,448.25,3483
1024000,598.68,751.105,143,285.5,448.5,685.25,5870
2048000,1064.86,997.63,209,568,887.5,1257.5,9479
4096000,852.273,804.381,213,524,774,974.75,9018
8192000,1337.77,2105.79,226,807.5,1036,1342.75,22807
