n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,74.4531,23.7996,39,61.75,73,83,280
2000,68.6562,28.0515,32,58,65,75,350
4000,77.2344,16.4621,43,66.75,76,87.25,148
8000,85.1719,15.527,53,73.75,85.5,95.25,129
16000,85.6953,15.2886,38,75,84,94.25,140
32000,108.453,18.3161,63,94.75,106,118,153
64000,116.047,25.7158,60,99,116,129.25,235
128000,180.5,425.567,81,110.75,129,154,4924
256000,409.117,1098.09,68,192,289.5,393.25,12618
512000,584.469,339.678,159,354.25,505.5,729.75,2438
1024000,570.539,546.737,173,324.5,451,690.25,5916
2048000,1065.35,747.489,267,642.75,913,1270,5537
4096000,646.258,458.08,137,375.75,542.5,837.25,4583
8192000,1306.99,886.864,419,916.25,1163,1409.5,8097
