n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,187.531,362.957,56,111.5,146.5,183.25,4188
2000,188.906,102.733,57,112.5,167.5,238,796
4000,340.867,180.436,68,150.75,357,499.5,718
8000,758.898,552.603,92,421,742,1010.25,5547
16000,1268.64,860.331,55,667.75,1139.5,1750.5,6646
32000,2511.45,1749.92,149,1100,2289.5,3301.5,8734
64000,4672.13,3019.07,89,2426.75,4166.5,6360,14885
128000,9120.87,5624.17,244,4296.25,8880.5,13146.2,24163
256000,22754.6,15023.8,50,9274.75,21273,35429.2,54863
512000,67889.8,49419.4,227,31822,59045.5,91154.2,252580
1024000,187250,136094,3389,87449.2,161556,268520,799281
2048000,412134,314178,2351,155091,364633,597970,1.91221e+06
4096000,1.00132e+06,619915,9810,439054,994852,1.46699e+06,2.49404e+06
8192000,2.05371e+06,1.43102e+06,19601,905302,1.96971e+06,2.81722e+06,5.49191e+06
