n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000,104.977,37.46,36,80,106,130,316
2000,124.352,52.9535,26,78.75,117.5,165.5,233
4000,236.219,127.181,45,105,236.5,338.5,469
8000,422.773,197.725,58,257.5,439,571.25,785
16000,803.492,460.58,29,448,747,1147,3034
32000,1537.43,904.86,103,758.5,1511,2184.25,3366
64000,3811.72,2267.15,79,1864,3631,5319.25,14378
128000,13523.7,9628.27,323,5633.75,11686.5,20276,42238
256000,26707.5,18027.6,69,11019.8,25782,41002.5,76849
512000,73220,65435.9,287,27581.8,59324,102534,350854
1024000,198614,142303,3409,91555.2,164098,294442,833546
2048000,412003,313336,7492,151372,358921,601404,1.74144e+06
4096000,1.03528e+06,700597,9053,404267,998399,1.51383e+06,2.88698e+06
8192000,2.0706e+06,1.31919e+06,32466,957263,1.99602e+06,3.13737e+06,6.13931e+06
